	A(a)	Al-001A	Al-001B	Al-002A	Al-002B	Al-003A	Al-003B	Al-004A	Al-004B	AlF-001	AlF-002	AlF-003	AlF-004	AlF-005	AlT1-001A	AlT1-001B	B(a)	Blank1	Blank10	Blank11	Blank12	Blank13	Blank2	Blank3	Blank4	Blank5	Blank6	Blank7	Blank8	blank9	C(a)	extraction shield blank	FsA	FsB	FsC	Mo-001	Mo-002	Mo-003	Mo-004	Mo-005	Mo-006	Mo-007	Mo-008	Mo-009	Mo-010	Mo-011	Mo-012	Mo-013	Mo-014	Mo-015	Mo-016	Mo-017	Mo-018	Mo-019	Mo-020	MOF-001	MOF-002	MOF-003	MOF-004	MOF-005	MoT1-001A	MoT1-001B	positive	WsA	WsA2	WsB	WsB2	WsC	WsC2	WT-001	WT-002	WT-003	WT-004	WT-005	WT-006	WT-007	WT-008	WT-009	WT-010	WT-011	WT-012	WT-013	WT-014	WT-015	WT-016	WT-017	WT-018	WT-019	WT-020	WTF-001	WTF-002	WTF-003	WTF-004	WTF-005	WTT1-001A	WTT1-001B	2ALF001	2ALF003	2MOF002	2MOF003	2MOF004	2MOF005	2WTF001	2WTF002	2WTF003	2WTF004	ALW001	Blankother1	Blankother2	Blankother3	Dr AL001g	DrAL001s	DrAL001t	Dr AL002g	DrAL002s	DrAL002t	Dr AL003g	DrAL003s	DrAL003t	Dr AL004g	DrAL004s	DrAL004t	DrLAL001	DrLAL002	DrLAL003	DrLIRF8001	DrLIRF8002	DrLIRF8003	DrLIRF8C001	DrLIRF8C002	DrLIRF8C003	DrLWT001	DrLWT002	DrLWT003	DrMO001g	DrMO001s	DrMO001t	DrMO002g	DrMO002s	DrMO002t	DrMO003g	DrMO003s	DrMO003t	DrMO004g	DrMO004s	DrMO004t	DrWT001g	DrWT001s	DrWT001t	DrWT002g	DrWT002s	DrWT002t	DrWT003g	DrWT003s	DrWT003t	DrWT004g	DrWT004s	DrWT004t	Extractionblank1	Extractionblank2	Extractionblank3	Extractionblank4	Extractionblank5	MOW001	PCR27blank1PCR1	PCR27blank2PCR1	PCR37blank1PCR1	PCR37blank2PCR1	PCRblank1PCR2	PCRblank2PCR2	PCRblank3PCR2	Positive control27PCR1	Positive control37PCR1	WTW001	YIRF8CF001	YIRF8CF002	YIRF8CF003	YIRF8CW001	YIRF8F001	YIRF8F002	YIRF8F003	YIRF8W001
ASV_13	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0	0	0	10	18	0	0	0	0	0	0	0	45	0	0	0	0	6	0	0	25937	0	44883	0	1377	266	58	129	79	9160	23416	27079	0	0	0	0	0	0	0	67	0	44	65	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	9	0	7	0	0	0	4	0	0	61	0
ASV_14	18094	0	0	0	0	0	0	0	208	0	0	0	14	0	0	0	68385	0	0	0	0	206	0	0	0	0	0	0	0	0	29172	0	0	0	0	60	460	545	0	0	0	175	4499	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	73	1080	0	151	0	0	76	0	0	0	273	0	0	0	0	0	0	0	0	0	0	74	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_15	17643	0	0	0	0	0	0	0	248	0	22	0	0	0	0	0	62172	0	0	0	0	198	0	0	0	0	0	0	0	0	27893	0	0	0	0	50	489	592	0	0	0	231	4796	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	15	0	0	0	0	0	69	0	0	0	63	1101	0	177	0	0	80	0	0	0	334	0	0	63	0	0	0	0	0	0	0	88	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_16	51	4	623	0	0	0	0	482	0	135	446	963	127	340	1125	760	97	0	377	0	163	385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	673	0	0	0	0	0	0	0	0	0	0	0	37	0	189	272	208	380	127	415	654	0	1740	273	4197	76	2754	337	0	0	88	0	0	0	0	0	0	1151	0	0	0	0	0	0	0	394	0	0	606	0	1353	167	337	548	269	3918	1561	3839	7705	1861	2279	3825	5664	4685	805	178	0	0	0	147	13	0	45	0	0	45	71	15	65	117	0	0	0	0	0	0	8	0	0	0	0	5	0	149	0	0	141	0	0	460	2	0	1	0	0	0	0	4	0	0	0	448	0	0	2	6	0	0	0	0	0	0	358	0	0	0	0	0	0	0	0	0	591	17983	5688	698	0	210	87	193	7
ASV_17	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17240	9	29759	9	764	183	35	70	0	5959	15052	15475	0	0	0	0	0	0	0	0	0	30	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_18	0	0	0	0	0	0	0	0	0	14	0	22	0	39	23	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	46	100	53	0	188	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	221	67	100	206	155	169	107	555	1311	758	640	488	1000	2995	1957	0	0	0	0	54	0	0	31	78	36	30	0	45	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	806	0	0	620	0	0	129	187	0	2037	0	707	0	0	0	311	32	0	60145	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	21	0	847	570	242	71	0	78	104	82	46
ASV_19	0	0	0	0	0	0	0	0	0	204	388	537	219	470	0	0	0	0	0	0	85	1585	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	44	41	62	0	0	108	0	275	88	299	336	633	88	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	44	0	51	13	0	23	23	1336	580	1050	1636	1912	13251	98	72	324	58	977	9	0	0	60	114	0	83	2407	121	26	96	67	0	251	0	2003	3	3583	0	12638	2003	1750	1572	588	484	665	975	101	1483	52	166	195	587	102	2800	61	1971	7024	50	20	55	314	0	148	656	90	71	37	0	82	1505	195	0	5	0	0	195	0	0	0	0	0	0	0	0	0	2203	65	0	849	0	0	0	0	0
ASV_20	44	234	602	0	0	0	0	915	0	189	390	1123	130	451	1856	1515	160	0	0	0	1314	456	0	0	0	0	0	0	335	0	0	0	0	0	0	0	0	0	285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	224	142	221	302	218	458	96	604	1006	0	2308	402	5230	45	4075	405	49	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	844	40	1836	354	537	1119	681	4067	1322	3217	7610	1107	2061	2815	5978	6115	519	195	9	0	0	150	0	0	42	0	0	41	80	70	39	277	0	0	0	0	0	0	0	0	9	0	0	16	0	125	0	0	72	0	0	251	0	0	0	0	0	0	0	213	0	0	0	231	0	0	0	0	0	0	0	0	0	0	321	0	0	0	0	0	0	0	0	0	764	1631	884	420	0	19	8	17	0
ASV_21	0	0	0	0	0	0	0	0	0	191	938	500	92	378	298	266	25	0	0	0	13	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	195	303	264	504	180	326	506	0	590	457	265	71	282	416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1729	0	3768	976	1056	452	214	272	188	3581	2066	1405	192	1562	1103	511	1366	115	0	0	0	145	205	0	0	163	0	146	0	0	161	211	0	0	0	0	0	0	0	0	0	0	0	0	0	329	0	0	1121	0	0	6620	0	0	25	0	0	11	0	80	0	0	0	733	0	0	5	0	0	0	0	0	0	0	491	0	0	0	0	0	0	0	0	0	588	6684	2725	8	0	7198	8166	3120	1374
ASV_22	0	713	0	0	0	0	0	0	0	96	232	497	86	206	425	434	71	0	636	0	198	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	410	0	0	0	0	0	0	0	0	0	0	0	0	0	84	143	115	244	68	217	469	0	1208	164	2948	0	1842	229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1715	0	0	391	0	765	134	199	218	145	2597	957	2615	6000	1340	2120	2398	3335	3522	590	163	0	0	0	104	0	0	0	0	0	0	0	48	53	217	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	97	0	0	308	0	0	26	0	0	0	0	47	0	0	0	294	0	0	0	0	0	20	12	0	0	0	222	0	0	0	0	0	0	0	4	0	603	14266	4142	424	0	179	83	164	0
